日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2019/01/16,day,19208:南アルプス市,平日,19:山梨県,62908
2019/01/16,day,19207:韮崎市,平日,19:山梨県,34045
2019/01/16,day,19206:大月市,平日,19:山梨県,23599
2019/01/16,day,19205:山梨市,平日,19:山梨県,32902
2019/01/16,day,19204:都留市,平日,19:山梨県,30655
2019/01/16,day,19202:富士吉田市,平日,19:山梨県,48416
2019/01/16,day,19201:甲府市,平日,19:山梨県,206639
2019/01/17,day,19443:丹波山村,平日,19:山梨県,891
2019/01/17,day,19442:小菅村,平日,19:山梨県,461
2019/01/17,day,19430:富士河口湖町,平日,19:山梨県,26045
2019/01/17,day,19429:鳴沢村,平日,19:山梨県,3607
2019/01/17,day,19425:山中湖村,平日,19:山梨県,8019
2019/01/17,day,19424:忍野村,平日,19:山梨県,8209
2019/01/17,day,19423:西桂町,平日,19:山梨県,3423
2019/01/17,day,19422:道志村,平日,19:山梨県,1314
2019/01/17,day,19384:昭和町,平日,19:山梨県,28159
2019/01/17,day,19368:富士川町,平日,19:山梨県,14482
2019/01/17,day,19366:南部町,平日,19:山梨県,7731
2019/01/17,day,19365:身延町,平日,19:山梨県,12366
2019/01/17,day,19364:早川町,平日,19:山梨県,1566
2019/01/17,day,19346:市川三郷町,平日,19:山梨県,13579
2019/01/17,day,19214:中央市,平日,19:山梨県,31295
2019/01/17,day,19213:甲州市,平日,19:山梨県,27938
2019/01/17,day,19212:上野原市,平日,19:山梨県,22805
2019/01/17,day,19211:笛吹市,平日,19:山梨県,70227
2019/01/17,day,19210:甲斐市,平日,19:山梨県,63620
2019/01/17,day,19209:北杜市,平日,19:山梨県,44035
2019/01/17,day,19208:南アルプス市,平日,19:山梨県,62405
2019/01/17,day,19207:韮崎市,平日,19:山梨県,34208
2019/01/17,day,19206:大月市,平日,19:山梨県,23216
