"","Date_approval","city","sum"
"676","2021-01-15","甲府市",11
"677","2021-01-15","富士吉田市",9
"678","2021-01-15","都留市",4
"679","2021-01-15","山梨市",1
"680","2021-01-15","大月市",0
"681","2021-01-15","韮崎市",4
"682","2021-01-15","南アルプス市",5
"683","2021-01-15","北杜市",2
"684","2021-01-15","甲斐市",2
"685","2021-01-15","笛吹市",3
"686","2021-01-15","上野原市",0
"687","2021-01-15","甲州市",2
"688","2021-01-15","中央市",2
"689","2021-01-15","市川三郷町",0
"690","2021-01-15","早川町",0
"691","2021-01-15","身延町",0
"692","2021-01-15","南部町",1
"693","2021-01-15","富士川町",2
"694","2021-01-15","昭和町",5
"695","2021-01-15","道志村",0
"696","2021-01-15","西桂町",2
"697","2021-01-15","忍野村",0
"698","2021-01-15","山中湖村",4
"699","2021-01-15","鳴沢村",0
"700","2021-01-15","富士河口湖町",9
"701","2021-01-15","小菅村",0
"702","2021-01-15","丹波山村",1
"703","2021-01-22","甲府市",12
"704","2021-01-22","富士吉田市",9
"705","2021-01-22","都留市",13
"706","2021-01-22","山梨市",1
"707","2021-01-22","大月市",2
"708","2021-01-22","韮崎市",2
"709","2021-01-22","南アルプス市",6
"710","2021-01-22","北杜市",9
"711","2021-01-22","甲斐市",4
"712","2021-01-22","笛吹市",8
"713","2021-01-22","上野原市",5
"714","2021-01-22","甲州市",3
"715","2021-01-22","中央市",1
"716","2021-01-22","市川三郷町",0
"717","2021-01-22","早川町",0
"718","2021-01-22","身延町",0
"719","2021-01-22","南部町",0
"720","2021-01-22","富士川町",2
"721","2021-01-22","昭和町",0
"722","2021-01-22","道志村",1
"723","2021-01-22","西桂町",3
"724","2021-01-22","忍野村",0
"725","2021-01-22","山中湖村",0
"726","2021-01-22","鳴沢村",1
"727","2021-01-22","富士河口湖町",11
"728","2021-01-22","小菅村",0
"729","2021-01-22","丹波山村",0
"730","2021-01-29","甲府市",14
"731","2021-01-29","富士吉田市",9
"732","2021-01-29","都留市",6
"733","2021-01-29","山梨市",3
"734","2021-01-29","大月市",2
"735","2021-01-29","韮崎市",1
"736","2021-01-29","南アルプス市",5
"737","2021-01-29","北杜市",2
"738","2021-01-29","甲斐市",2
"739","2021-01-29","笛吹市",2
"740","2021-01-29","上野原市",0
"741","2021-01-29","甲州市",1
"742","2021-01-29","中央市",0
"743","2021-01-29","市川三郷町",0
"744","2021-01-29","早川町",0
"745","2021-01-29","身延町",0
"746","2021-01-29","南部町",0
"747","2021-01-29","富士川町",0
"748","2021-01-29","昭和町",2
"749","2021-01-29","道志村",1
"750","2021-01-29","西桂町",0
"751","2021-01-29","忍野村",2
"752","2021-01-29","山中湖村",3
"753","2021-01-29","鳴沢村",0
"754","2021-01-29","富士河口湖町",6
"755","2021-01-29","小菅村",0
"756","2021-01-29","丹波山村",0
"757","2021-02-05","甲府市",13
"758","2021-02-05","富士吉田市",7
"759","2021-02-05","都留市",2
"760","2021-02-05","山梨市",1
"761","2021-02-05","大月市",1
"762","2021-02-05","韮崎市",0
"763","2021-02-05","南アルプス市",1
"764","2021-02-05","北杜市",3
"765","2021-02-05","甲斐市",5
"766","2021-02-05","笛吹市",1
"767","2021-02-05","上野原市",0
"768","2021-02-05","甲州市",3
"769","2021-02-05","中央市",0
"770","2021-02-05","市川三郷町",1
"771","2021-02-05","早川町",0
"772","2021-02-05","身延町",1
"773","2021-02-05","南部町",0
"774","2021-02-05","富士川町",0
"775","2021-02-05","昭和町",3
"776","2021-02-05","道志村",0
"777","2021-02-05","西桂町",0
"778","2021-02-05","忍野村",0
"779","2021-02-05","山中湖村",1
"780","2021-02-05","鳴沢村",1
"781","2021-02-05","富士河口湖町",2
"782","2021-02-05","小菅村",0
"783","2021-02-05","丹波山村",0
"784","2021-02-09","甲府市",0
"785","2021-02-09","富士吉田市",0
"786","2021-02-09","都留市",0
"787","2021-02-09","山梨市",0
"788","2021-02-09","大月市",1
"789","2021-02-09","韮崎市",0
"790","2021-02-09","南アルプス市",1
"791","2021-02-09","北杜市",2
"792","2021-02-09","甲斐市",0
"793","2021-02-09","笛吹市",0
"794","2021-02-09","上野原市",0
"795","2021-02-09","甲州市",0
"796","2021-02-09","中央市",0
"797","2021-02-09","市川三郷町",0
"798","2021-02-09","早川町",0
"799","2021-02-09","身延町",0
"800","2021-02-09","南部町",0
"801","2021-02-09","富士川町",0
"802","2021-02-09","昭和町",0
