"","週","week","city","population_inflow","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"213","202002_W3",2020-02-17,"道志村",1830,0.000670850254700652,0.000668235082874256,6.459855858718e-11,6.95227342596615e-11
"214","202002_W3",2020-02-17,"都留市",31838,0.0020045830285643,0.00231868642843434,1.97374503583194e-10,3.49157901115722e-10
"215","202002_W3",2020-02-17,"韮崎市",32556,0.00158805264650126,0.00228905413834407,1.97283989942124e-10,5.25742467815407e-10
"216","202002_W3",2020-02-17,"鳴沢村",4680,0.00142865280780658,0.00180096968410246,1.36987495027807e-10,1.97053952615934e-10
"217","202002_W4",2020-02-24,"上野原市",24099,0.00471200635562838,0.0572115788509527,6.35985980232426e-10,6.21374600423469e-08
"218","202002_W4",2020-02-24,"中央市",31326,0.00132925930507693,0.073524758803136,2.39467135460987e-10,8.82529331011781e-08
"219","202002_W4",2020-02-24,"丹波山村",561,0.000267256279970569,0.00145172678861029,2.37460086598236e-11,1.2610884114886e-09
"220","202002_W4",2020-02-24,"北杜市",48772,0.0106651223077476,0.11822698253592,1.93768603066888e-09,1.27288946100595e-07
"221","202002_W4",2020-02-24,"南アルプス市",62579,0.00146085401491559,0.15182494344075,2.55243917385477e-10,1.84482170339282e-07
"222","202002_W4",2020-02-24,"南部町",7766,0.000626096197357966,0.0176917882311143,1.20968913409099e-10,2.05416375479758e-08
"223","202002_W4",2020-02-24,"大月市",23833,0.00702324505550758,0.0594387140975602,1.10500175774244e-09,6.24651605544674e-08
"224","202002_W4",2020-02-24,"富士吉田市",48712,0.00477299577583318,0.120499442405001,6.81775245944027e-10,1.38813304528755e-07
"225","202002_W4",2020-02-24,"富士川町",14040,0.000190597013723345,0.0325413696903878,3.60483599525322e-11,3.97216737001408e-08
"226","202002_W4",2020-02-24,"富士河口湖町",29186,0.00736717048675806,0.0720594734274777,1.09684770641558e-09,7.4983600249326e-08
"227","202002_W4",2020-02-24,"小菅村",716,0.000142394787922348,0.00163265588374811,1.21682525810688e-11,1.69272570132621e-09
"228","202002_W4",2020-02-24,"山中湖村",8532,0.00727476443528939,0.0242210556716006,1.22030093845831e-09,1.959316579672e-08
"229","202002_W4",2020-02-24,"山梨市",33222,0.00201808696454241,0.0787247785300426,3.19630222501728e-10,9.31003136989176e-08
"230","202002_W4",2020-02-24,"市川三郷町",13768,0.000274593932903573,0.0339402680115355,4.17457992712094e-11,4.13556872431441e-08
"231","202002_W4",2020-02-24,"忍野村",8694,0.00258491843401749,0.0218919677559448,4.53680458379409e-10,2.41003035749592e-08
"232","202002_W4",2020-02-24,"早川町",1194,0.000281280500243543,0.00280147208858056,2.50462989047514e-11,2.95071095936213e-09
"233","202002_W4",2020-02-24,"昭和町",26341,0.00183401635501783,0.0646474161820982,4.35399816460532e-10,7.66796251248959e-08
"234","202002_W4",2020-02-24,"甲州市",30594,0.00260929418648986,0.0710306210665959,4.18604435637576e-10,8.33170960448147e-08
"235","202002_W4",2020-02-24,"甲府市",203121,0.0145227388266546,0.503140960870527,2.4631090173279e-09,5.94879438750872e-07
"236","202002_W4",2020-02-24,"甲斐市",68802,0.003170942617375,0.163644627770793,6.32506054461188e-10,1.96349182555041e-07
"237","202002_W4",2020-02-24,"笛吹市",70035,0.00682090084029798,0.172287077360169,9.67421954387067e-10,2.00137900016826e-07
