date,type,customers
2020-07-31,fitted,40.02088380428942
2020-07-31,counterfactual,35.03029333809196
2020-07-31,actual,42.111111111111114
2020-08-01,fitted,55.39193752478883
2020-08-01,counterfactual,48.48458193846113
2020-08-01,actual,58.27777777777778
2020-08-02,fitted,44.75147987491333
2020-08-02,counterfactual,39.17098570331759
2020-08-02,actual,48.94444444444444
2020-08-03,fitted,26.93077168645705
2020-08-03,counterfactual,23.57251370587322
2020-08-03,actual,32.94444444444444
2020-08-04,fitted,29.986006826342297
2020-08-04,counterfactual,26.246762073061035
2020-08-04,actual,32.666666666666664
2020-08-05,fitted,31.769697511549747
2020-08-05,counterfactual,27.80802714238801
2020-08-05,actual,33.44444444444444
2020-08-06,fitted,32.432768380053865
2020-08-06,counterfactual,28.388413301305516
2020-08-06,actual,35.27777777777778
2020-08-07,fitted,43.7283803093064
2020-08-07,counterfactual,37.011013314016246
2020-08-07,actual,42.888888888888886
2020-08-08,fitted,61.13565991658288
2020-08-08,counterfactual,51.74426098403367
2020-08-08,actual,79.11111111111111
2020-08-09,fitted,58.93199407790277
2020-08-09,counterfactual,49.87911287843086
2020-08-09,actual,73.05555555555556
2020-08-10,fitted,50.50406667218154
2020-08-10,counterfactual,42.74584768048936
2020-08-10,actual,59.666666666666664
2020-08-11,fitted,39.246125193111745
2020-08-11,counterfactual,33.217303082609234
2020-08-11,actual,44.333333333333336
2020-08-12,fitted,48.14860659526113
2020-08-12,counterfactual,40.752223319127275
2020-08-12,actual,51.166666666666664
2020-08-13,fitted,56.18662359505653
2020-08-13,counterfactual,47.55547448218044
2020-08-13,actual,69.16666666666667
2020-08-14,fitted,62.39951037125655
2020-08-14,counterfactual,52.16978548324052
2020-08-14,actual,69.88888888888889
2020-08-15,fitted,67.6206082907062
2020-08-15,counterfactual,56.534940863856775
2020-08-15,actual,75.33333333333333
2020-08-16,fitted,50.67111340321724
2020-08-16,counterfactual,42.36413235800977
2020-08-16,actual,60.05555555555556
2020-08-17,fitted,28.384981900470546
2020-08-17,counterfactual,23.731571095394294
2020-08-17,actual,34.111111111111114
2020-08-18,fitted,31.26072896293404
2020-08-18,counterfactual,26.13587052755619
2020-08-18,actual,34
2020-08-19,fitted,32.95272427225488
2020-08-19,counterfactual,27.550481504480874
2020-08-19,actual,39.22222222222222
2020-08-20,fitted,33.67360538627008
2020-08-20,counterfactual,28.153181956028384
2020-08-20,actual,39.72222222222222
2020-08-21,fitted,44.14300673223153
2020-08-21,counterfactual,36.479667869396366
2020-08-21,actual,40.27777777777778
2020-08-22,fitted,60.44390200949671
2020-08-22,counterfactual,49.95068603758645
2020-08-22,actual,59.388888888888886
2020-08-23,fitted,49.041844763609234
2020-08-23,counterfactual,40.52805508992797
2020-08-23,actual,54.05555555555556
2020-08-24,fitted,27.798672675332277
2020-08-24,counterfactual,22.972752004809053
2020-08-24,actual,31.833333333333332
2020-08-25,fitted,31.63466087046679
2020-08-25,counterfactual,26.142802838869223
2020-08-25,actual,34.666666666666664
2020-08-26,fitted,32.04565503915172
2020-08-26,counterfactual,26.482447368767943
2020-08-26,actual,32.44444444444444
2020-08-27,fitted,34.60445667842369
2020-08-27,counterfactual,28.59703449942087
2020-08-27,actual,38.27777777777778
2020-08-28,fitted,43.143267123378344
2020-08-28,counterfactual,35.47285384393699
2020-08-28,actual,39
2020-08-29,fitted,65.43852906154109
2020-08-29,counterfactual,53.80425572602207
2020-08-29,actual,65.11111111111111
2020-08-30,fitted,52.86626868546888
2020-08-30,counterfactual,43.467209309648375
2020-08-30,actual,66.77777777777777
2020-08-31,fitted,27.22796927257389
2020-08-31,counterfactual,22.387126401696417
2020-08-31,actual,32.72222222222222
2020-09-01,fitted,29.828905047414448
2020-09-01,counterfactual,24.52564350413429
2020-09-01,actual,39.27777777777778
2020-09-02,fitted,30.843693949999707
2020-09-02,counterfactual,25.36001375061818
2020-09-02,actual,32.77777777777778
2020-09-03,fitted,30.993761316962793
2020-09-03,counterfactual,25.483400738437158
2020-09-03,actual,34.72222222222222
2020-09-04,fitted,41.55333359084067
2020-09-04,counterfactual,33.74147747065407
2020-09-04,actual,36.72222222222222
2020-09-05,fitted,63.027490156056615
2020-09-05,counterfactual,51.17858076255972
2020-09-05,actual,60
2020-09-06,fitted,51.08037448423762
2020-09-06,counterfactual,41.47747378882629
2020-09-06,actual,60.27777777777778
2020-09-07,fitted,27.17214865104427
2020-09-07,counterfactual,22.063896258387366
2020-09-07,actual,35.111111111111114
2020-09-08,fitted,30.341598161555627
2020-09-08,counterfactual,24.637502272920585
2020-09-08,actual,31.055555555555557
2020-09-09,fitted,33.51020806012334
2020-09-09,counterfactual,27.21042651910859
2020-09-09,actual,35.888888888888886
2020-09-10,fitted,35.47254594949727
2020-09-10,counterfactual,28.803852941548943
2020-09-10,actual,37.5
2020-09-11,fitted,46.40135988087249
2020-09-11,counterfactual,37.26672673049132
2020-09-11,actual,48.27777777777778
2020-09-12,fitted,66.47701179157042
2020-09-12,counterfactual,53.3902592220671
2020-09-12,actual,68.38888888888889
2020-09-13,fitted,53.131744439529704
2020-09-13,counterfactual,42.67215887262115
2020-09-13,actual,57.111111111111114
2020-09-14,fitted,29.083292072276656
2020-09-14,counterfactual,23.357916683114308
2020-09-14,actual,31.944444444444443
2020-09-15,fitted,31.826739975964117
2020-09-15,counterfactual,25.561285799634742
2020-09-15,actual,32.888888888888886
2020-09-16,fitted,35.92527596439718
2020-09-16,counterfactual,28.852978566143165
2020-09-16,actual,39.111111111111114
2020-09-17,fitted,36.998934002790584
2020-09-17,counterfactual,29.715274861370716
2020-09-17,actual,42
2020-09-18,fitted,47.71983256252645
2020-09-18,counterfactual,38.002022020428335
2020-09-18,actual,48.55555555555556
2020-09-19,fitted,76.0036191835588
2020-09-19,counterfactual,60.526013079811904
2020-09-19,actual,78.38888888888889
2020-09-20,fitted,79.65334685803157
2020-09-20,counterfactual,63.43249920949701
2020-09-20,actual,89.72222222222223
2020-09-21,fitted,79.24745788737695
2020-09-21,counterfactual,63.10926669227239
2020-09-21,actual,103.16666666666669
2020-09-22,fitted,53.484382351906035
2020-09-22,counterfactual,42.59266151495745
2020-09-22,actual,66.33333333333333
2020-09-23,fitted,28.68689013885439
2020-09-23,counterfactual,22.845005361783972
2020-09-23,actual,32
2020-09-24,fitted,33.41932441539084
2020-09-24,counterfactual,26.613712457550168
2020-09-24,actual,41.77777777777778
2020-09-25,fitted,45.63628944196417
2020-09-25,counterfactual,36.06734441421946
2020-09-25,actual,42
2020-09-26,fitted,67.35399884609923
2020-09-26,counterfactual,53.23131884213661
2020-09-26,actual,70.33333333333333
2020-09-27,fitted,54.78245348891542
2020-09-27,counterfactual,43.2957552421817
2020-09-27,actual,63.22222222222222
2020-09-28,fitted,31.97161472736452
2020-09-28,counterfactual,25.26785709247948
2020-09-28,actual,36.166666666666664
2020-09-29,fitted,36.084897880144645
2020-09-29,counterfactual,28.51867353611705
2020-09-29,actual,38.44444444444444
2020-09-30,fitted,37.62911642232686
2020-09-30,counterfactual,29.739102775495308
2020-09-30,actual,34.888888888888886
2020-10-01,fitted,33.892702852500854
2020-10-01,counterfactual,26.786134496418583
2020-10-01,actual,33.05555555555556
2020-10-02,fitted,47.285476732731844
2020-10-02,counterfactual,36.98137468168305
2020-10-02,actual,43.05555555555556
2020-10-03,fitted,73.8749546632592
2020-10-03,counterfactual,57.77666985227192
2020-10-03,actual,76.61111111111111
2020-10-04,fitted,55.15005243481289
2020-10-04,counterfactual,43.13216009926679
2020-10-04,actual,61
2020-10-05,fitted,29.531805624141295
2020-10-05,counterfactual,23.096452532052872
2020-10-05,actual,35.72222222222222
2020-10-06,fitted,32.65040603803336
2020-10-06,counterfactual,25.535470563751332
2020-10-06,actual,32.5
